"","V1","V2","V3","V4"
"216",19313,19274,12187,11933
"217",17483,17395,22396,17414
"218",2569,2476,2316,2342
"219",2304,2045,2440,2322
"220",17555,17645,2982,17662
"221",15234,15047,15237,15449
"222",19559,13732,14306,14442
"223",9256,9223,24437,23803
"224",1886,411,21746,2080
"225",4828,4997,5044,18128
"226",19391,21076,19452,13614
"227",8580,22081,24027,22172
"228",12111,11381,11847,11924
"229",3917,4136,21498,3873
"230",9358,9347,22508,9384
"231",3854,4050,22909,4002
"232",8307,8300,24562,8332
"233",7568,7542,24296,7584
"234",21240,21250,21752,21723
"235",5847,5754,21535,5839
"236",16814,20799,16749,16805
"237",21387,21507,23184,22531
"238",11701,12068,11803,12337
"239",21450,5158,22039,21458
"240",15819,15576,15505,15494
"241",17196,17128,1011,17305
"242",1085,220,88,1341
"243",5532,5778,5401,18461
"244",22292,21226,23130,22756
"245",15286,15984,15858,15285
"246",4339,4486,4382,4173
"247",11476,11313,23062,11271
"248",18562,18663,25021,18500
"249",11679,11861,21939,11506
"250",5752,5795,21538,5811
"251",21301,21414,24701,23333
"252",9216,9168,22456,22237
"253",8235,8256,21631,8224
"254",18644,18579,24100,23054
"255",21298,22648,23331,22713
"256",14416,13952,21473,14247
"257",18107,4591,18136,18154
"258",4240,4133,3866,18144
"259",4852,4994,4987,5188
"260",6469,21353,21587,21385
"261",5969,6173,22545,21422
"262",4340,4035,22946,4131
"263",2713,17536,2907,17489
"264",18246,18185,18360,18284
"265",7324,7090,7014,7056
"266",1359,1315,23364,22016
"267",17314,17262,2365,17254
"268",16697,20621,20661,20684
"269",19260,19219,19251,13402
"270",1710,17230,2150,17203
"271",4769,4375,4720,4963
"272",10,16859,1,43
"273",17232,17274,17298,2064
"274",7164,18752,18693,7147
"275",5362,6482,5436,6445
"276",12663,12699,23923,21925
"277",8669,7636,9952,8572
"278",1563,1775,2091,1960
"279",24351,25025,25138,25110
"280",17816,17712,17814,17671
"281",5903,5831,21223,5987
"282",9081,11050,22831,11198
"283",4205,4043,3768,4105
"284",10888,18928,9457,11511
"285",263,17084,1068,1011
"286",7659,8510,10556,8639
"287",14227,14304,21316,13977
"288",17473,2359,2584,2530
"289",5238,4839,21484,5274
"290",9755,11229,23779,11103
"291",2490,3193,22996,3129
"292",20919,17375,17323,2183
"293",4140,3940,3581,3947
"294",16667,20715,16744,20676
"295",3897,4054,3737,3970
"296",15004,15350,15529,15279
"297",2985,3051,2653,2935
"298",152,1153,1849,1261
"299",15170,15144,21224,15345
"300",18077,4138,17989,18091
"301",20059,15506,19973,19958
"302",15751,15874,16014,15742
"303",1958,21860,24772,23106
"304",13804,12864,13887,14178
"305",17088,17126,233,17061
"306",14738,15075,14747,15027
"307",19130,19236,19190,11972
"308",17392,17397,17358,2321
"309",4488,4652,18248,4632
"310",2921,2752,2562,3186
"311",13223,13636,12656,12515
"312",11121,9270,10971,11427
"313",2527,2723,2695,2582
"314",3216,3294,3077,2798
"315",4658,4370,4462,4010
"316",877,1020,262,17122
"317",4384,4436,4012,4507
"318",3736,3650,3562,3391
"319",17614,17509,17567,2634
"320",2985,2819,17486,2577
"321",21566,22116,23013,22761
"322",2464,2508,2196,2171
"323",4701,4698,4922,4936
"324",1495,1463,21752,1423
"325",5892,5961,21371,5878
"326",40,16861,16840,16849
"327",2665,2639,2254,2471
"328",19535,14388,19451,19437
"329",17101,17090,190,17035
"330",21584,21203,23009,22216
"331",11056,11098,23425,11029
"332",3106,17735,17720,2732
"333",17509,17485,17567,2634
"334",132,1025,161,609
"335",14477,14356,24338,14720
"336",2360,2836,2591,2503
"337",11544,11620,23131,11767
"338",19917,15038,15336,19945
"339",2359,2470,2167,17400
"340",18065,18111,18164,18253
"341",22919,21426,23588,23445
"342",6994,18694,6554,7068
"343",25,17,26,16910
"344",2018,1849,1952,2280
"345",17124,17062,242,217
"346",8075,7832,23440,21721
"347",84,222,151,164
"348",11592,11640,11985,11768
"349",16385,20504,20502,20560
"350",6010,21435,5980,5982
"351",18910,18786,18865,18818
"352",13671,13805,12597,13317
"353",16731,20729,20802,20796
"354",3911,3767,3525,3653
"355",19224,19170,19047,19101
"356",16917,35,16983,16881
"357",2661,2635,2941,2942
"358",6796,7292,6829,6878
"359",8817,8827,23320,8859
"360",551,578,21732,534
"361",235,954,102,17039
"362",14203,13819,14001,14061
"363",4216,18021,17985,17887
"364",16960,16984,23371,17042
"365",4385,4053,4259,4564
"366",19467,19515,12680,19373
"367",9888,9907,23715,21933
"368",3186,3207,2649,2562
"369",169,177,210,17055
"370",18341,18187,18304,5070
"371",9253,18879,10993,11032
"372",336,199,22980,63
"373",7245,7253,23405,10350
"374",1531,1546,22638,1559
"375",5804,5845,22615,5802
"376",1153,2079,1849,1261
"377",347,17192,243,17110
"378",2528,2894,2763,2927
"379",6019,6028,21694,21388
"380",10960,10961,21697,10997
"381",5159,4867,21747,21484
"382",24753,25023,25105,25064
"383",7144,7246,23383,11330
"384",14551,14518,14213,14239
"385",3048,2418,17494,17559
"386",17693,17730,17825,17749
"387",19123,19221,19174,19061
"388",17645,17711,2982,17662
"389",16891,39,31,16875
"390",16416,20522,20507,16391
"391",20544,20529,20493,16434
"392",18698,6945,18677,18595
"393",15593,15537,21310,15485
"394",2094,17328,21050,20971
"395",19570,14215,19702,19502
"396",164,16982,16988,16935
"397",3059,3083,23376,21688
"398",902,17176,17090,17138
"399",7504,7424,21985,7421
"400",9586,9071,21896,8565
"401",17684,17629,2872,17585
"402",16946,16950,17005,16936
"403",3745,3264,21707,3586
"404",3177,3132,21237,2835
"405",16665,16711,20647,20689
"406",21525,21704,23475,21906
"407",16914,31,53,81
"408",1949,17424,2317,2223
"409",13441,13443,22703,22028
"410",701,758,21731,641
"411",2278,2586,2604,2571
"412",1645,22882,23177,23071
"413",17393,17520,2661,17436
"414",2741,2587,2320,2804
"415",8331,8537,8545,8593
"416",2010,754,2290,1374
"417",2359,17473,17445,2225
"418",3155,3067,21701,3117
"419",13590,13593,12721,12372
"420",10470,9884,23697,9953
"421",17354,1998,17357,2222
"422",2085,525,23442,1238
"423",2463,22208,2462,2998
"424",20579,20601,16459,16551
"425",17770,17748,17820,3447
"426",3615,3755,4265,3555
"427",9319,21376,23088,21926
"428",7967,21721,23169,21729
"429",1518,1487,22349,22020
"430",22590,22094,24551,23170
"431",3804,3232,22019,21173
"432",10768,11173,23815,21932
"433",16270,16090,16066,16253
"434",17086,124,272,216
"435",11390,11479,8765,9639
"436",17554,17539,17542,2937
"437",4019,4006,4357,3780
"438",2068,17249,2041,1872
"439",10578,10821,22282,22281
"440",6498,6558,22589,6517
"441",17635,17719,2907,17638
"442",7680,7720,22166,7674
"443",11994,11168,11647,11874
"444",2797,17696,17640,3180
"445",17368,17481,2340,17416
"446",299,376,23557,1294
"447",2813,2816,22981,2108
"448",1160,1118,22872,1194
"449",4535,4453,4514,4291
"450",710,17118,17185,17081
"451",11994,11874,11647,11727
"452",11851,19108,19138,11358
"453",7294,10877,23824,21983
"454",5300,18301,5200,5016
"455",2226,1990,23913,2212
"456",3112,3705,3242,3032
"457",4528,4592,4439,4678
"458",11416,11978,11770,12097
"459",17127,338,17148,806
"460",2070,2396,2316,2083
"461",4559,4308,4465,18047
"462",4318,4125,4126,4150
"463",17015,91,17087,397
"464",4927,5756,20966,5289
"465",12187,19189,11428,11754
"466",11606,10888,11430,11511
"467",416,1016,713,219
"468",17269,17266,2003,1918
"469",4039,4221,3916,4665
"470",19502,12394,13862,19428
"471",18799,18754,18805,6879
"472",18994,19083,18996,11278
"473",17543,2428,2358,17449
"474",2969,2499,3085,2607
"475",19878,14944,19761,19762
"476",19060,19081,11570,19004
"477",14458,13752,14118,13653
"478",18510,18442,6781,18542
"479",4295,3658,3808,3483
"480",1949,2109,2317,2420
"481",18909,18988,11298,11361
"482",18281,4995,4710,4899
"483",8641,8636,25066,24223
"484",6786,7055,6596,6940
"485",5613,18511,18387,5320
"486",2752,2921,3275,3186
"487",17852,3941,3700,3490
"488",2805,3109,2914,3075
"489",18580,18673,18486,6790
"490",957,1004,22844,969
"491",23980,10269,24695,24191
"492",23163,22798,25102,24993
"493",207,172,17055,17089
"494",16059,20375,15952,20365
"495",18552,18505,5438,18633
"496",14728,14259,14468,14651
"497",4904,5038,5306,5505
"498",7405,9093,23748,21699
"499",11711,11938,12031,12080
"500",12983,13061,24462,22015
"501",14372,14450,14113,14043
"502",15567,15821,15522,15452
"503",12513,19294,19274,19406
"504",3330,2969,3085,3096
"505",18556,5506,6548,6912
"506",11701,12337,19215,19323
"507",5391,5036,18396,6586
"508",16705,16666,20724,16646
"509",15781,16107,15933,16102
"510",14632,14744,14109,14197
"511",18860,18887,11288,11521
"512",22453,9716,24481,24018
"513",18761,7562,18713,6957
"514",19682,14367,14758,19717
"515",8535,9531,8944,8722
"516",20080,20047,20113,15723
"517",7659,8639,10556,10373
"518",17715,2770,17746,2709
"519",6813,18628,5806,18661
"520",17851,3614,17859,17763
"521",12307,11707,12211,12027
"522",23671,1503,24599,24241
"523",12271,12458,19258,19138
"524",20622,20656,20614,16614
"525",12274,13831,12461,12459
"526",20592,20544,16477,16467
"527",19053,11399,19222,19142
"528",8531,8686,8595,8732
"529",15086,14648,23921,15029
"530",9196,9628,10925,11152
"531",15227,14991,23850,15412
"532",14352,14624,14428,14671
"533",9270,11152,11167,11635
"534",863,799,23508,857
"535",11124,11760,19126,19018
"536",3111,3209,24415,21483
"537",6572,5671,18415,5383
"538",7451,8361,22222,7727
"539",16371,20564,23843,21950
"540",10979,10935,24699,11001
"541",3794,3655,21481,3673
"542",13777,13813,12613,13488
"543",15903,15976,15971,16160
"544",17996,3933,17963,17854
"545",11923,11860,11680,12057
"546",5409,6954,6798,5632
"547",21264,23274,24098,23986
"548",12506,19505,21009,13888
"549",16465,16151,16323,16334
"550",7246,6911,6895,6704
"551",14870,14738,14747,14535
"552",16681,20692,20720,20650
"553",14132,14493,14468,14213
"554",19533,12728,13926,13833
"555",20403,20383,20416,16192
"556",6290,6157,22150,6175
"557",16334,16465,16658,16579
"558",22816,23732,24791,24621
"559",15256,15506,15375,15794
"560",21561,21976,23702,23072
"561",14021,14242,19490,13921
"562",16151,16050,16293,16182
