0,1,31
1,31,32
1,2,32
2,32,33
2,3,33
3,33,34
3,4,34
4,34,35
4,5,35
5,35,36
5,6,36
6,36,37
6,7,37
7,37,38
7,8,38
8,38,39
8,9,39
9,39,40
9,10,40
10,40,41
10,11,41
11,41,42
11,12,42
12,42,43
12,13,43
13,43,44
13,14,44
14,44,45
14,15,45
15,45,46
15,16,46
16,46,47
16,17,47
17,47,48
17,18,48
18,48,49
18,19,49
19,49,50
19,20,50
20,50,51
20,21,51
21,51,52
21,22,52
22,52,53
22,23,53
23,53,54
23,24,54
24,54,55
24,25,55
25,55,56
25,26,56
26,56,57
26,27,57
27,57,58
27,28,58
28,58,59
28,29,59
29,59,60
29,30,60
30,60,61
31,32,62
32,62,63
32,33,63
33,63,64
33,34,64
34,64,65
34,35,65
35,65,66
35,36,66
36,66,67
36,37,67
37,67,68
37,38,68
38,68,69
38,39,69
39,69,70
39,40,70
40,70,71
40,41,71
41,71,72
41,42,72
42,72,73
42,43,73
43,73,74
43,44,74
44,74,75
44,45,75
45,75,76
45,46,76
46,76,77
46,47,77
47,77,78
47,48,78
48,78,79
48,49,79
49,79,80
49,50,80
50,80,81
50,51,81
51,81,82
51,52,82
52,82,83
52,53,83
53,83,84
53,54,84
54,84,85
54,55,85
55,85,86
55,56,86
56,86,87
56,57,87
57,87,88
57,58,88
58,88,89
58,59,89
59,89,90
59,60,90
60,90,91
60,61,91
61,91,92
62,63,93
63,93,94
63,64,94
64,94,95
64,65,95
65,95,96
65,66,96
66,96,97
66,67,97
67,97,98
67,68,98
68,98,99
68,69,99
69,99,100
69,70,100
70,100,101
70,71,101
71,101,102
71,72,102
72,102,103
72,73,103
73,103,104
73,74,104
74,104,105
74,75,105
75,105,106
75,76,106
76,106,107
76,77,107
77,107,108
77,78,108
78,108,109
78,79,109
79,109,110
79,80,110
80,110,111
80,81,111
81,111,112
81,82,112
82,112,113
82,83,113
83,113,114
83,84,114
84,114,115
84,85,115
85,115,116
85,86,116
86,116,117
86,87,117
87,117,118
87,88,118
88,118,119
88,89,119
89,119,120
89,90,120
90,120,121
90,91,121
91,121,122
91,92,122
92,122,123
93,94,124
94,124,125
94,95,125
95,125,126
95,96,126
96,126,127
96,97,127
97,127,128
97,98,128
98,128,129
98,99,129
99,129,130
99,100,130
100,130,131
100,101,131
101,131,132
101,102,132
102,132,133
102,103,133
103,133,134
103,104,134
104,134,135
104,105,135
105,135,136
105,106,136
106,136,137
106,107,137
107,137,138
107,108,138
108,138,139
108,109,139
109,139,140
109,110,140
110,140,141
110,111,141
111,141,142
111,112,142
112,142,143
112,113,143
113,143,144
113,114,144
114,144,145
114,115,145
115,145,146
115,116,146
116,146,147
116,117,147
117,147,148
117,118,148
118,148,149
118,119,149
119,149,150
119,120,150
120,150,151
120,121,151
121,151,152
121,122,152
122,152,153
122,123,153
123,153,154
124,125,155
125,155,156
125,126,156
126,156,157
126,127,157
127,157,158
127,128,158
128,158,159
128,129,159
129,159,160
129,130,160
130,160,161
130,131,161
131,161,162
131,132,162
132,162,163
132,133,163
133,163,164
133,134,164
134,164,165
134,135,165
135,165,166
135,136,166
136,166,167
136,137,167
137,167,168
137,138,168
138,168,169
138,139,169
139,169,170
139,140,170
140,170,171
140,141,171
141,171,172
141,142,172
142,172,173
142,143,173
143,173,174
143,144,174
144,174,175
144,145,175
145,175,176
145,146,176
146,176,177
146,147,177
147,177,178
147,148,178
148,178,179
148,149,179
149,179,180
149,150,180
150,180,181
150,151,181
151,181,182
151,152,182
152,182,183
152,153,183
153,183,184
153,154,184
154,184,185
155,156,186
156,186,187
156,157,187
157,187,188
157,158,188
158,188,189
158,159,189
159,189,190
159,160,190
160,190,191
160,161,191
161,191,192
161,162,192
162,192,193
162,163,193
163,193,194
163,164,194
164,194,195
164,165,195
165,195,196
165,166,196
166,196,197
166,167,197
167,197,198
167,168,198
168,198,199
168,169,199
169,199,200
169,170,200
170,200,201
170,171,201
171,201,202
171,172,202
172,202,203
172,173,203
173,203,204
173,174,204
174,204,205
174,175,205
175,205,206
175,176,206
176,206,207
176,177,207
177,207,208
177,178,208
178,208,209
178,179,209
179,209,210
179,180,210
180,210,211
180,181,211
181,211,212
181,182,212
182,212,213
182,183,213
183,213,214
183,184,214
184,214,215
184,185,215
185,215,216
186,187,217
187,217,218
187,188,218
188,218,219
188,189,219
189,219,220
189,190,220
190,220,221
190,191,221
191,221,222
191,192,222
192,222,223
192,193,223
193,223,224
193,194,224
194,224,225
194,195,225
195,225,226
195,196,226
196,226,227
196,197,227
197,227,228
197,198,228
198,228,229
198,199,229
199,229,230
199,200,230
200,230,231
200,201,231
201,231,232
201,202,232
202,232,233
202,203,233
203,233,234
203,204,234
204,234,235
204,205,235
205,235,236
205,206,236
206,236,237
206,207,237
207,237,238
207,208,238
208,238,239
208,209,239
209,239,240
209,210,240
210,240,241
210,211,241
211,241,242
211,212,242
212,242,243
212,213,243
213,243,244
213,214,244
214,244,245
214,215,245
215,245,246
215,216,246
216,246,247
217,218,248
218,248,249
218,219,249
219,249,250
219,220,250
220,250,251
220,221,251
221,251,252
221,222,252
222,252,253
222,223,253
223,253,254
223,224,254
224,254,255
224,225,255
225,255,256
225,226,256
226,256,257
226,227,257
227,257,258
227,228,258
228,258,259
228,229,259
229,259,260
229,230,260
230,260,261
230,231,261
231,261,262
231,232,262
232,262,263
232,233,263
233,263,264
233,234,264
234,264,265
234,235,265
235,265,266
235,236,266
236,266,267
236,237,267
237,267,268
237,238,268
238,268,269
238,239,269
239,269,270
239,240,270
240,270,271
